ticker,company_name,regulation,person_name,person_category,type_of_security_prior,no_of_security_prior,pct_shareholding_prior,type_of_security_acquired,no_of_securities_acquired,value_of_securities_acquired,transaction_type,type_of_security_post,no_of_security_post,pct_post,date_of_allotment_acquisition_from,date_of_allotment_acquisition_to,date_of_intimation_to_company,mode_of_acquisition,derivative_type_security,derivative_contract_specification,notional_value_buy,units_contract_lot_size_buy,notional_value_sell,units_contract_lot_size_sell,exchange,remark,broadcast_date_and_time,xbrl_link
GENSOL,Gensol Engineering Limited,7(2),Anmol Singh Jaggi,Promoters,Equity Shares,7964766,21.03,Equity Shares,53945,47744327,Buy,Equity Shares,8018711,21.17,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NA,-,06-Jun-2024 07:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165138_1153931_06062024075816_WEB.xml
GENSOL,Gensol Engineering Limited,7(2),Anmol Singh Jaggi,Promoters,Equity Shares,7964766,21.03,Equity Shares,53945,47744327,Buy,Equity Shares,8018711,21.17,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NA,-,06-Jun-2024 07:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165138_1153931_06062024075816_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,8605657,0.35,Equity Shares,1092,962200,Sell,Equity Shares,8604565,0.35,30-May-2024,30-May-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 23:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165137_1153922_05062024113128_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,8603992,0.35,Equity Shares,141,128399,Sell,Equity Shares,8603851,0.35,03-Jun-2024,03-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 23:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165137_1153922_05062024113128_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,8604065,0.35,Equity Shares,73,65073,Sell,Equity Shares,8603992,0.35,31-May-2024,31-May-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 23:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165137_1153922_05062024113128_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,8604565,0.35,Equity Shares,500,440462,Sell,Equity Shares,8604065,0.35,30-May-2024,30-May-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 23:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165137_1153922_05062024113128_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Kamesh Kumar Gunupur,Employees/Designated Employees,Equity Shares,467,0,Equity Shares,467,2638550,Sell,Equity Shares,Nil,0,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 22:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165135_1153916_05062024102637_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),M Prabin Meitei,Employees/Designated Employees,Equity Shares,807,0,Equity Shares,500,2865000,Sell,Equity Shares,307,0,04-Jun-2024,05-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 22:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165135_1153916_05062024102637_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Info Edge Employees Stock Option Plan Trust,Other,Equity Shares,230288,0.18,Equity Shares,197,1970,Sell,Equity Shares,230091,0.17,03-Jun-2024,03-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NA,-,05-Jun-2024 22:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165135_1153916_05062024102637_WEB.xml
BTML,Bodhi Tree Multimedia Limited,7(2),Mautik Ajit Tolia,Director,Equity Shares,44009750,35.22,Equity Shares,500,5410,Buy,Equity Shares,44010250,35.22,05-Jun-2024,05-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NA,-,05-Jun-2024 21:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165132_1153886_05062024092233_WEB.xml
