symbol,market_cap
1018GS2026,17385
20MICRONS,658.8
21STCENMGM,60.89
360ONE,30887.6
3IINFOLTD,642.19
3MINDIA,41680.76
3PLAND,55.91
515GS2025,143660.63
522GS2025,116171
563GS2026,157581.98
574GS2026,78894
5PAISA,1634.23
610GS2031,143560
618GS2024,63395
622GS2035,97717.26
63MOONS,1694.08
654GS2032,155610
667GS2035,119001.08
667GS2050,146021.43
669GS2024,57792
676GS2061,138973.37
68GS2060,81533.35
699GS2026,56560
699GS2051,145059.75
702GS2027,6024
704GS2029,12084
706GS2028,112332
710GS2029,153567
718GS2033,207231
718GS2037,178880
723GS2039,44880
725GS2063,246360
726GS2032,153653.6
726GS2033,164320
732GS2030,71274
733GS2026,46975.2
734GS2064,59280
736GS2052,157500
737GS2028,76612.5
738GS2027,143689.8
73GS2053,189643.5
741GS2036,155100
746GS2073,56127
74GS2062,165048
754GS2036,156450
769GS2043,39497.5
824GS2027,102171.86
92GS2030,69310.7
A2ZINFRA,354.53
AAATECH,141.09
AADHARHFC,17205.76
AAKASH,121.3
AAREYDRUGS,118.24
AARON,275.45
AARTECH,246.8
AARTIDRUGS,4826.59
AARTIIND,24782.59
AARTIPHARM,5800.06
AARTISURF,571.92
AARTISURF,571.92
AARVEEDEN,66.58
AARVI,201.95
AATMAJ,59.89
AAVAS,15274.36
ABAN,399.04
ABB,181287.61
ABBOTINDIA,36895.8
ABCAPITAL,61978.88
ABCOTS,254.22
ABFRL,32626.91
ABINFRA,270.36
ABMINTLLTD,63.97
ABSLAMC,19043.29
ABSLBANETF,2737.39
ABSLLIQUID,41.14
ABSLNN50ET,50.03
ABSLPSE,36.94
ABSMARINE,670.46
ACC,49350.49
ACCELYA,2582.24
ACCENTMIC,593.2
ACCURACY,161.55
ACE,18136.97
ACEINTEG,35.17
ACI,8251.14
ACL,894.07
ACLGATI,1456.22
ACSAL,59.48
ADANIENSOL,112330.11
ADANIENT,372124.87
ADANIGREEN,283692.3
ADANIPORTS,313652.17
ADANIPOWER,285471.34
ADFFOODS,2488.41
ADL,50.21
ADORWELD,1834.43
ADROITINFO,41.38
ADSL,894.64
ADVANIHOTR,651.88
ADVENZYMES,4257.14
AEGISLOG,28427.49
AEROFLEX,1948.86
AETHER,11664.42
AFFLE,17364.89
AGARIND,1750.06
AGARWALFT,38.97
AGI,4512
AGNI,105.98
AGRITECH,117.02
AGROPHOS,95.73
AGSTRA,1092.63
AGUL,28.79
AHIMSA,9.11
AHL,2433.58
AHLADA,158.93
AHLEAST,244.02
AHLUCONT,8053.91
AIAENG,40086.16
AIIL,17307.22
AIMTRON,762.56
AIRAN,379.44
AIROLAM,216.85
AIRTELPP,39942.73
AJANTPHARM,29842.25
AJMERA,2445.26
AJOONI,86.64
AKANKSHA,211.11
AKASH,57.08
AKG,73.4
AKI,228.56
AKSHAR,77.7
AKSHARCHEM,213.68
AKSHOPTFBR,139.11
AKZOINDIA,12660.21
ALANKIT,563.2
ALBERTDAVD,746.5
ALEMBICLTD,2596.32
ALICON,2052.24
ALKALI,122.44
ALKEM,62045.87
ALKYLAMINE,10244.73
ALLCARGO,6190.54
ALLETEC,514.85
ALLSEC,1778.08
ALMONDZ,371.98
ALOKINDS,14687.18
ALPA,176.74
ALPEXSOLAR,2176.17
ALPHA,184.22
ALPHAETF,62.32
ALPHAGEO,258.06
ALPL30IETF,1047.86
ALPSINDUS,11.54
ALUWIND,177.66
AMBANIORG,74.12
AMBER,13410.44
AMBICAAGAR,46.46
AMBIKCO,913.14
AMBUJACEM,164044.02
AMDIND,139.07
AMEYA,82.16
AMIABLE,12.94
AMIORG,5155.53
AMJLAND,165.76
AMNPLST,1442.07
AMRUTANJAN,2197.21
ANANDRATHI,16689.49
ANANTRAJ,15111.57
