symbol,basic_industry,macro,sector,industry
1018GS2026,,,,
20MICRONS,Industrial Minerals,Commodities,Metals & Mining,Minerals & Mining
21STCENMGM,Other Capital Market related Services,Financial Services,Financial Services,Capital Markets
360ONE,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets
3IINFOLTD,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software
3MINDIA,Diversified,Diversified,Diversified,Diversified
3PLAND,Investment Company,Financial Services,Financial Services,Finance
515GS2025,,,,
563GS2026,,,,
574GS2026,,,,
579GS2030,,,,
5PAISA,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets
610GS2031,,,,
619GS2034,,,,
63MOONS,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software
654GS2032,,,,
667GS2035,,,,
667GS2050,,,,
669GS2024,,,,
676GS2061,,,,
689GS2025,,,,
68GS2060,,,,
695GS2061,,,,
699GS2026,,,,
699GS2051,,,,
706GS2028,,,,
710GS2029,,,,
716GS2050,,,,
717GS2030,,,,
718GS2033,,,,
718GS2037,,,,
71GS2034,,,,
723GS2039,,,,
725GS2063,,,,
726GS2029,,,,
726GS2032,,,,
726GS2033,,,,
727GS2026,,,,
732GS2030,,,,
733GS2026,,,,
734GS2064,,,,
736GS2052,,,,
737GS2028,,,,
738GS2027,,,,
73GS2053,,,,
741GS2036,,,,
746GS2073,,,,
74GS2062,,,,
754GS2036,,,,
757GS2033,,,,
772GS2055,,,,
817GS2044,,,,
824GS2027,,,,
828GS2027,,,,
82GS2025,,,,
92GS2030,,,,
A2ZINFRA,Civil Construction,Industrials,Construction,Construction
AAATECH,IT Enabled Services,Information Technology,Information Technology,IT - Services
AAKASH,Offshore Support Solution Drilling,Energy,Oil Gas & Consumable Fuels,Oil
AAREYDRUGS,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
AARON,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing
AARTECH,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment
AARTIDRUGS,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
AARTIIND,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
AARTIPHARM,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
AARTISURF,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
AARVEEDEN,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
AARVI,Diversified Commercial Services,Services,Services,Commercial Services & Supplies
AATMAJ,Hospital,Healthcare,Healthcare,Healthcare Services
AAVAS,Housing Finance Company,Financial Services,Financial Services,Finance
ABAN,Offshore Support Solution Drilling,Energy,Oil Gas & Consumable Fuels,Oil
ABB,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment
ABBOTINDIA,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
ABCAPITAL,Investment Company,Financial Services,Financial Services,Finance
ABCOTS,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels
ABFRL,Speciality Retail,Consumer Discretionary,Consumer Services,Retailing
ABINFRA,Civil Construction,Industrials,Construction,Construction
ABMINTLLTD,Trading & Distributors,Services,Services,Commercial Services & Supplies
ABSLAMC,Asset Management Company,Financial Services,Financial Services,Capital Markets
ABSLBANETF,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
ABSLLIQUID,Mutual Fund Scheme,Financial Services,Financial Services,Capital Markets
ABSLNN50ET,,,,
ACC,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products
ACCELYA,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software
ACCENTMIC,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
ACCURACY,Logistics Solution Provider,Services,Services,Transport Services
ACE,Construction Vehicles,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles
ACEINTEG,Diversified Commercial Services,Services,Services,Commercial Services & Supplies
ACI,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals
ACL,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products
ACLGATI,Logistics Solution Provider,Services,Services,Transport Services
ACSAL,Shipping,Services,Services,Transport Services
ADANIENSOL,Power Distribution,Utilities,Power,Power
ADANIENT,Trading - Minerals,Commodities,Metals & Mining,Metals & Minerals Trading
ADANIGREEN,Power Generation,Utilities,Power,Power
ADANIPORTS,Port & Port services,Services,Services,Transport Infrastructure
ADANIPOWER,Integrated Power Utilities,Utilities,Power,Power
ADFFOODS,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
